Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Closed,Due Date,Version,Story Points,Epic,Hours
JIRA-71,From not your.,Jose,Stephanie,Low,Resolved,Duplicate,2024-04-24,2024-04-29,,2024-05-02,1.3,7,Security Updates,11.4
JIRA-72,Though ahead east add need.,Jason,Austin,Medium,Closed,Duplicate,2024-01-16,2024-01-24,2024-01-26,2024-01-29,1.2,10,Dashboard Enhancements,34.5
JIRA-73,Reason total body.,Barbara,Robert,Critical,In Progress,Unresolved,2024-05-17,2024-05-20,,2024-05-27,1.1,5,Payment Gateway,25.4
JIRA-74,Congress produce summer.,Wanda,Eric,Medium,Open,Unresolved,2024-06-13,2024-06-14,,2024-06-27,1.2,11,Security Updates,20.8
JIRA-75,Consider service college sing.,Billy,Sabrina,Low,In Progress,Unresolved,2024-07-09,2024-07-12,,2024-07-18,1.2,5,Payment Gateway,22.0
JIRA-76,Third night require today.,Shane,Andrew,Critical,In Progress,Unresolved,2023-10-06,2023-10-07,,2023-10-13,1.1,13,User Management,23.7
JIRA-77,Somebody history owner offer popular.,Billy,Todd,Medium,Closed,Unresolved,2023-10-04,2023-10-13,2023-10-17,2023-10-11,1.2,4,User Management,20.6
JIRA-78,If fall.,Jessica,Tamara,Medium,Resolved,Fixed,2023-11-18,2023-11-24,,2023-12-02,2.0,13,Dashboard Enhancements,9.2
JIRA-79,Enough ball all into.,Maria,Andrea,Low,In Progress,Unresolved,2024-05-11,2024-05-18,,2024-05-20,2.0,3,Security Updates,29.2
JIRA-80,Yourself leader official.,Bruce,Michael,Low,Closed,Unresolved,2024-05-01,2024-05-11,2024-05-15,2024-05-13,1.1,8,API Development,14.0
JIRA-81,Now front task score east.,Krista,Christine,High,Closed,Unresolved,2024-05-03,2024-05-09,2024-05-12,2024-05-10,1.1,8,User Management,19.3
JIRA-82,Realize evening career.,Theresa,Christy,Critical,Open,Unresolved,2024-07-31,2024-08-02,,2024-08-08,1.2,11,API Development,33.0
JIRA-83,Best myself answer.,Patricia,Samantha,Critical,In Progress,Unresolved,2024-01-14,2024-01-18,,2024-01-25,2.0,10,Dashboard Enhancements,24.9
JIRA-84,Already stock plant.,Marcus,Jamie,High,Open,Unresolved,2024-03-08,2024-03-10,,2024-03-16,1.2,8,API Development,8.1
JIRA-85,Reduce raise agreement much.,Joshua,Matthew,Critical,Resolved,Unresolved,2023-11-24,2023-12-03,,2023-12-04,2.0,10,User Management,5.0
JIRA-86,As husband.,Lisa,Patrick,Medium,In Progress,Unresolved,2024-04-25,2024-05-01,,2024-05-07,1.2,2,User Management,19.8
JIRA-87,Save direction that heavy.,Scott,Angela,Low,In Progress,Unresolved,2024-03-29,2024-04-08,,2024-04-06,1.2,6,Security Updates,25.4
JIRA-88,Yeah last tell nothing.,Jimmy,Vanessa,High,In Progress,Unresolved,2023-08-23,2023-08-30,,2023-09-05,1.2,5,User Management,38.8
JIRA-89,Quickly your.,Brent,Natalie,Critical,Resolved,Unresolved,2024-06-27,2024-07-06,,2024-07-09,1.1,6,Dashboard Enhancements,13.0
JIRA-90,Individual animal purpose exist.,Collin,David,High,In Progress,Unresolved,2024-06-09,2024-06-13,,2024-06-21,1.0,3,API Development,17.1
JIRA-91,News course firm within interview.,Ryan,Samuel,High,In Progress,Unresolved,2023-11-12,2023-11-17,,2023-11-24,2.0,13,API Development,12.6
JIRA-92,West important investment.,Jacob,Samantha,Medium,Resolved,Unresolved,2023-10-13,2023-10-16,,2023-10-20,1.2,3,API Development,28.3
JIRA-93,Worker future stay piece.,Joseph,Joseph,Medium,Closed,Fixed,2024-02-11,2024-02-20,2024-02-24,2024-02-25,1.1,4,User Management,16.9
JIRA-94,Where it them.,Kelly,Natasha,Low,Closed,Duplicate,2024-07-31,2024-08-02,2024-08-05,2024-08-05,1.3,3,API Development,6.7
JIRA-95,Word scientist ability week.,April,William,High,Closed,Fixed,2024-05-10,2024-05-18,2024-05-20,2024-05-16,1.0,1,User Management,5.7
JIRA-96,Development practice why project list.,Sierra,Howard,Low,Open,Unresolved,2024-01-21,2024-01-25,,2024-02-04,1.3,8,Dashboard Enhancements,21.4
JIRA-97,Major your right.,Jason,Elizabeth,Critical,Resolved,Fixed,2024-02-29,2024-03-04,,2024-03-15,1.0,3,User Management,21.3
JIRA-98,Build purpose theory student where.,Kristi,Heather,Medium,Open,Unresolved,2023-10-13,2023-10-15,,2023-10-23,1.3,13,Dashboard Enhancements,28.6
JIRA-99,Picture wife son special.,Bethany,Denise,High,Open,Unresolved,2024-08-01,2024-08-04,,2024-08-09,2.0,3,User Management,34.2
JIRA-100,Foot speech deal box identify.,Paula,Bryan,Medium,Resolved,Fixed,2023-11-04,2023-11-08,,2023-11-13,1.3,8,Dashboard Enhancements,11.3
